,Airport,R0_VH_mean,R0_HV_mean,R0_HV_lower_CI,R0_HV_upper_CI,R0_HV_sd,seeds,Asian_countries,City,sd_seeds
1,AMD,0.928709833,0.768215315,0.509955794,1.022056913,0.130187656,1.04,India,Ahmedabad,0.1525
2,BKK,2.247906849,1.541824797,1.030669251,2.055961134,0.261980902,2.2,Thailand,Bangkok,0.325
3,HKG,2.656811154,1.552254773,1.026999088,2.064675495,0.265047119,3.09,Hong Kong,Hong Kong,0.4575
4,JED,NA,NA,NA,NA,NA,5.58,Saudi Arabia,Jeddah,0.7075
5,KUL,2.59548863,1.559791763,1.049230836,2.083474203,0.262827001,1.6,Malaysia,Kuala Lumpur,0.2175
6,MNL,2.424094714,1.598500967,1.070688511,2.133557286,0.271122096,1.73,Philippines,Manila,0.26
7,MED,NA,NA,NA,NA,NA,1.04,Saudi Arabia,Medina,0.16
8,BOM,0.775927454,0.644571137,0.426536407,0.856813633,0.109766406,6.99,India,Mumbai,0.995
9,MCT,1.933092026,1.414501,0.9336617,1.88716,0.2421095,1.9,Oman,Muscat,0.2875
10,DEL,NA,NA,NA,NA,NA,3.59,India,New Delhi,0.5225
11,SIN,2.625800076,1.551900498,1.043676345,2.059637846,0.260511858,0.77,Singapore,Singapore,0.1225
