,City,AA,Airport,temperature.country,a,EIP,lf,prop_Surv,species
1,Ahmedabad,0.875,AMD,India,0.607586321,9.014405566,16.125,0.571761745,AA
2,Bangkok,0.845,BKK,Thailand,0.670560191,6.885306017,15.89583333,0.648462162,AA
3,Hong Kong,0.845,HKG,Hong Kong,0.469273996,20.60937153,16.125,0.278565918,AA
4,Jeddah,0.95,JED,Qatar,0.656613034,7.294131403,15.97916667,0.63351121,AA
5,Kuala Lumpur,0.82,KUL,Malaysia,0.647636588,7.572746445,16.02083333,0.623328768,AA
6,Manila,0.845,MNL,Philippines,0.670822273,6.877870736,15.89583333,0.648765551,AA
7,Medina,0.85,MED,Saudi Arabia,0.635150616,7.984188072,16.0625,0.608310355,AA
8,Mumbai,0.875,BOM,India,0.64681522,7.598920454,16.02083333,0.622311237,AA
9,Muscat,0.85,MCT,Oman,0.611709654,8.847947187,16.10416667,0.577284684,AA
10,New Delhi,0.875,DEL,India,0.566582145,10.98555397,16.16666667,0.506860834,AA
11,Singapore,0.82,SIN,Singapore,0.660755261,7.169860108,15.95833333,0.638083406,AA
