,Airport,R0_VH_mean,R0_HV_mean,R0_HV_lower_CI,R0_HV_upper_CI,R0_HV_sd,seeds,Asian_countries,City,sd_seeds
1,BKK,1.990829562,0.916911605,0.615616194,1.223100466,0.156502626,2.2,Thailand,Bangkok,0.325
2,PEK,0.00286,4.72E-27,3.15E-27,6.30E-27,8.02E-28,7.99,China,Beijing,1.155
3,BEY,0.9204045,0.2581292,0.1706152,0.3454718,0.04446382,7.26,Lebanon,Beirut ,1.0125
4,CAN,0.737812014,0.197757555,0.131638803,0.265028565,0.033790829,9.61,China,Guangzhou,1.3325
5,HKG,0.907496254,0.298793234,0.198120961,0.401378929,0.051199845,3.09,Hong Kong,Hong Kong,0.4575
6,KUL,1.87556312,0.841414205,0.562620392,1.120640977,0.14236948,1.6,Malaysia,Kuala Lumpur,0.2175
7,MNL,1.992480807,0.916873699,0.611838757,1.225899445,0.156350898,1.73,Philippines,Manila,0.26
8,BOM,1.870625247,0.835031052,0.558362607,1.108605054,0.141851875,6.99,India,Mumbai,0.995
9,DEL,1.443819528,0.582638947,0.383247215,0.775585265,0.098805374,3.59,India,New Delhi,0.5225
10,ICN,0.003447708,5.16E-23,3.43E-23,6.85E-23,8.67E-24,1.72,South Korea,Seoul,0.27
11,PVG,0.138452182,4.82E-16,3.16E-16,6.41E-16,8.14E-17,5.67,China,Shanghai,0.86
12,SIN,1.941907688,0.883224653,0.587705617,1.174375435,0.148266039,0.77,Singapore,Singapore,0.1225
13,NRT,0.004319792,4.77E-19,3.19E-19,6.34E-19,8.00E-20,1.56,Japan,Tokyo,0.265
