,Airport,R0_VH_mean,R0_HV_mean,R0_HV_lower_CI,R0_HV_upper_CI,R0_HV_sd,seeds,Asian_countries,City,sd_seeds
1,BKK,2.024028234,1.271959306,0.845970694,1.693339449,0.217808973,2.2,Thailand,Bangkok,0.325
2,PEK,2.195529736,0.788515394,0.5233021,1.046888014,0.134814609,7.99,China,Beijing,1.155
3,BEY,2.280946,1.062873,0.7107003,1.413752,0.1807362,7.26,Lebanon,Beirut ,1.0125
4,CAN,2.280481407,1.260265096,0.834954539,1.677785347,0.212870517,9.61,China,Guangzhou,1.3325
5,HKG,2.244403867,1.179312663,0.775508845,1.570509015,0.202021722,3.09,Hong Kong,Hong Kong,0.4575
6,KUL,2.273971617,1.2204068,0.810567291,1.623936381,0.208908408,1.6,Malaysia,Kuala Lumpur,0.2175
7,MNL,2.177001006,1.272050512,0.850078086,1.688356173,0.214766862,1.73,Philippines,Manila,0.26
8,BOM,0.553474402,0.663346804,0.438158591,0.886014624,0.114118106,6.99,India,Mumbai,0.995
9,DEL,0.205957311,0.249227734,0.164553375,0.33289081,0.042358574,3.59,India,New Delhi,0.5225
10,ICN,2.158394008,0.764415653,0.508456427,1.023560484,0.129851494,1.72,South Korea,Seoul,0.27
11,PVG,2.277045337,0.86640428,0.585072822,1.154810496,0.147018028,5.67,China,Shanghai,0.86
12,SIN,2.280984373,1.204163401,0.800231629,1.60747613,0.205761497,0.77,Singapore,Singapore,0.1225
13,NRT,2.207492707,0.79553465,0.531966913,1.062057378,0.134566742,1.56,Japan,Tokyo,0.265
