,Airport,R0_VH_mean,R0_HV_mean,R0_HV_lower_CI,R0_HV_upper_CI,R0_HV_sd,seeds,Asian_countries,City,sd_seeds
1,BKK,0.745903676,0.195249167,0.130250014,0.25914131,0.033209628,2.2,Thailand,Bangkok,0.325
2,PEK,0.000885625,7.29E-80,4.90E-80,9.68E-80,1.23E-80,7.99,China,Beijing,1.155
3,BEY,0.003447708,7.29E-80,4.90E-80,9.68E-80,1.23E-80,7.26,Lebanon,Beirut ,1.0125
4,CAN,0.002803125,2.22E-27,1.48E-27,2.96E-27,3.79E-28,9.61,China,Guangzhou,1.3325
5,HKG,0.003837708,7.28E-21,4.82E-21,9.69E-21,1.24E-21,3.09,Hong Kong,Hong Kong,0.4575
6,KUL,0.937515229,0.304558247,0.201985678,0.407103902,0.052240515,1.6,Malaysia,Kuala Lumpur,0.2175
7,MNL,0.954553191,0.313996401,0.208016898,0.419334032,0.054108592,1.73,Philippines,Manila,0.26
8,BOM,0.004363125,9.38E-19,6.22E-19,1.25E-18,1.59E-19,6.99,India,Mumbai,0.995
9,DEL,0.0025025,2.67E-30,1.77E-30,3.56E-30,4.54E-31,3.59,India,New Delhi,0.5225
10,ICN,0.000885625,7.32E-80,4.90E-80,9.80E-80,1.25E-80,1.72,South Korea,Seoul,0.27
11,PVG,0.001096875,3.94E-65,2.66E-65,5.26E-65,6.64E-66,5.67,China,Shanghai,0.86
12,SIN,1.2089629,0.454975405,0.302042524,0.606047989,0.0775823,0.77,Singapore,Singapore,0.1225
13,NRT,0.000885625,7.31E-80,4.89E-80,9.75E-80,1.24E-80,1.56,Japan,Tokyo,0.265
