,location_code,location_population,first_date_cases,last_date_cases,num_cases_time_window,length_of_stay
1,Angola,28813000,2016-01-01,2016-12-31,12760,3.4
2,Benin,10872000,2016-01-01,2016-12-31,4360,5.51
3,Burkina Faso,18646000,2016-01-01,2016-12-31,12200,6.6
4,Burundi,10524000,2016-01-01,2016-12-31,2490,15
5,Cameroon,23439000,2016-01-01,2016-12-31,60320,4.85
6,Central African Republic,4595000,2016-01-01,2016-12-31,8350,2.7
7,Chad,14453000,2016-01-01,2016-12-31,13970,7.5
8,Congo,5126000,2016-01-01,2016-12-31,9110,2.7
9,Ivory Coast (Cote d'Ivoire),23696000,2016-01-01,2016-12-31,32040,3
10,Democratic Republic of the Congo,78736000,2016-01-01,2016-12-31,429080,6.3
11,Equatorial Guinea,1221000,2016-01-01,2016-12-31,4640,3.8
12,Eritrea,4955000,2016-01-01,2016-12-31,750,8.4
13,Ethiopia,102403000,2016-01-01,2016-12-31,44860,8.4
14,Gabon,1980000,2016-01-01,2016-12-31,10660,2.7
15,Gambia,2039000,2016-01-01,2016-12-31,1780,3.5
16,Ghana,28207000,2016-01-01,2016-12-31,52170,10.5
17,Guinea,12396000,2016-01-01,2016-12-31,16250,8.9
18,Guinea Bissau,1816000,2016-01-01,2016-12-31,6620,22
19,Kenya,48462000,2016-01-01,2016-12-31,28240,10.4
20,Liberia,4614000,2016-01-01,2016-12-31,5370,6.3
21,Mali,17995000,2016-01-01,2016-12-31,6700,6
22,Mauritania,4301000,2016-01-01,2016-12-31,2820,3.5
23,Niger,20673000,2016-01-01,2016-12-31,6500,8
24,Nigeria,185990000,2016-01-01,2016-12-31,82480,7
25,Rwanda,11918000,2016-01-01,2016-12-31,2910,3.2
26,Sao Tome and Principe,200000,2016-01-01,2016-12-31,40,2.7
27,Senegal,15412000,2016-01-01,2016-12-31,9960,3.5
28,Sierra Leone,7396000,2016-01-01,2016-12-31,9100,7
29,Somalia,14318000,2016-01-01,2016-12-31,6430,9.4
30,South Sudan,12231000,2016-01-01,2016-12-31,25230,6.3
31,Sudan,39579000,2016-01-01,2016-12-31,7530,7.2
32,Tanzania,55572000,2016-01-01,2016-12-31,23850,10
33,Togo,7606000,2016-01-01,2016-12-31,2580,2
34,Uganda,41488000,2016-01-01,2016-12-31,31630,5.5
35,Zambia,16591000,2016-01-01,2016-12-31,4350,4
36,Argentina,43847000,2016-01-01,2016-12-31,1400,10.1
37,Bolivia,10888000,2016-01-01,2016-12-31,1360,19
38,Brazil,207653000,2016-01-01,2016-12-31,51980,23.4
39,Colombia,48653000,2016-01-01,2016-12-31,2540,19
40,Ecuador,16385000,2016-01-01,2016-12-31,1790,8.5
41,French Guiana,244000,2016-01-01,2016-12-31,230,2.6
42,Guyana,773000,2016-01-01,2016-12-31,370,23.9
43,Panama,4034000,2016-01-01,2016-12-31,1110,8
44,Paraguay,6725000,2016-01-01,2016-12-31,660,4.3
45,Peru,31774000,2016-01-01,2016-12-31,3980,1.8
46,Suriname,558000,2016-01-01,2016-12-31,390,15
47,Trinidad and Tobago,1365000,2016-01-01,2016-12-31,440,14
48,Venezuela,31568000,2016-01-01,2016-12-31,3280,11.7
49,Afghanistan,NA,,,NA,NA
50,Bahrain,NA,,,NA,NA
51,Bangladesh,NA,,,NA,NA
52,Brunei Darussalam,NA,,,NA,NA
53,Cambodia,NA,,,NA,NA
54,China,NA,,,NA,NA
55,Cyprus,NA,,,NA,NA
56,Fiji,NA,,,NA,NA
57,Hong Kong,NA,,,NA,NA
58,India,NA,,,NA,NA
59,Indonesia,NA,,,NA,NA
60,Iran,NA,,,NA,NA
61,Iraq,NA,,,NA,NA
62,Japan,NA,,,NA,NA
63,Jordan,NA,,,NA,NA
64,Kazakhstan,NA,,,NA,NA
65,Kuwait,NA,,,NA,NA
66,Kyrgyzstan,NA,,,NA,NA
67,Laos,NA,,,NA,NA
68,Lebanon,NA,,,NA,NA
69,Macau,NA,,,NA,NA
70,Malaysia,NA,,,NA,NA
71,Maldives,NA,,,NA,NA
72,Marshall Islands,NA,,,NA,NA
73,Micronesia,NA,,,NA,NA
74,Mongolia,NA,,,NA,NA
75,Myanmar,NA,,,NA,NA
76,Nepal,NA,,,NA,NA
77,North Korea,NA,,,NA,NA
78,Oman,NA,,,NA,NA
79,Pakistan,NA,,,NA,NA
80,Palau,NA,,,NA,NA
81,Papua New Guinea,NA,,,NA,NA
82,Philippines,NA,,,NA,NA
83,Qatar,NA,,,NA,NA
84,Saudi Arabia,NA,,,NA,NA
85,Singapore,NA,,,NA,NA
86,Solomon Islands,NA,,,NA,NA
87,South Korea,NA,,,NA,NA
88,Sri Lanka,NA,,,NA,NA
89,Syria,NA,,,NA,NA
90,Taiwan,NA,,,NA,NA
91,Tajikistan,NA,,,NA,NA
92,Thailand,NA,,,NA,NA
93,Tonga,NA,,,NA,NA
94,Turkey,NA,,,NA,NA
95,Turkmenistan,NA,,,NA,NA
96,United Arab Emirates,NA,,,NA,NA
97,Uzbekistan,NA,,,NA,NA
98,Vanuatu,NA,,,NA,NA
99,Vietnam,NA,,,NA,NA
100,Western Samoa,NA,,,NA,NA
101,Yemen,NA,,,NA,NA
102,AMD,NA,NA,NA,NA,NA
103,AMM,NA,NA,NA,NA,NA
104,ATQ,NA,NA,NA,NA,NA
105,AUH,NA,NA,NA,NA,NA
106,BAH,NA,NA,NA,NA,NA
107,BDQ,NA,NA,NA,NA,NA
108,BEY,NA,NA,NA,NA,NA
109,BHO,NA,NA,NA,NA,NA
110,BKK,NA,NA,NA,NA,NA
111,BLR,NA,NA,NA,NA,NA
112,BOM,NA,NA,NA,NA,NA
113,BPN,NA,NA,NA,NA,NA
114,BTU,NA,NA,NA,NA,NA
115,CAN,NA,NA,NA,NA,NA
116,CCJ,NA,NA,NA,NA,NA
117,CCU,NA,NA,NA,NA,NA
118,CEB,NA,NA,NA,NA,NA
119,CGK,NA,NA,NA,NA,NA
120,CGO,NA,NA,NA,NA,NA
121,CHG,NA,NA,NA,NA,NA
122,CJB,NA,NA,NA,NA,NA
123,CKG,NA,NA,NA,NA,NA
124,CNX,NA,NA,NA,NA,NA
125,COK,NA,NA,NA,NA,NA
126,CRK,NA,NA,NA,NA,NA
127,CSX,NA,NA,NA,NA,NA
128,CTU,NA,NA,NA,NA,NA
129,DEL,NA,NA,NA,NA,NA
130,DMM,NA,NA,NA,NA,NA
131,DOH,NA,NA,NA,NA,NA
132,DPS,NA,NA,NA,NA,NA
133,DXB,NA,NA,NA,NA,NA
134,FOC,NA,NA,NA,NA,NA
135,GES,NA,NA,NA,NA,NA
136,GOI,NA,NA,NA,NA,NA
137,GOP,NA,NA,NA,NA,NA
138,HET,NA,NA,NA,NA,NA
139,HGH,NA,NA,NA,NA,NA
