"from","to","n"
"Afghanistan","Brazil",74
"Afghanistan","Cameroon",5
"Afghanistan","Central African Republic",4
"Afghanistan","Colombia",13
"Afghanistan","Congo",63
"Afghanistan","Eritrea",821
"Afghanistan","Ethiopia",67
"Afghanistan","Ghana",79
"Afghanistan","Ivory Coast (Cote d'Ivoire)",6
"Afghanistan","Kenya",98
"Afghanistan","Mali",3
"Afghanistan","Mauritania",6
"Afghanistan","Niger",4
"Afghanistan","Nigeria",16
"Afghanistan","Panama",27
"Afghanistan","Rwanda",19
"Afghanistan","Senegal",66
"Afghanistan","Somalia",22
"Afghanistan","South Sudan",55
"Afghanistan","Sudan",1733
"Afghanistan","Tanzania",553
"Afghanistan","Uganda",354
"Afghanistan","Zambia",29
"Bahrain","Angola",46
"Bahrain","Argentina",119
"Bahrain","Benin",8
"Bahrain","Bolivia",6
"Bahrain","Brazil",938
"Bahrain","Burkina Faso",15
"Bahrain","Burundi",10
"Bahrain","Cameroon",107
"Bahrain","Chad",28
"Bahrain","Colombia",186
"Bahrain","Congo",8
"Bahrain","Ecuador",26
"Bahrain","Eritrea",134
"Bahrain","Ethiopia",6602
"Bahrain","Gabon",33
"Bahrain","Gambia",2
"Bahrain","Ghana",647
"Bahrain","Ivory Coast (Cote d'Ivoire)",81
"Bahrain","Kenya",3144
"Bahrain","Liberia",2
"Bahrain","Mali",23
"Bahrain","Mauritania",50
"Bahrain","Niger",4
"Bahrain","Nigeria",570
"Bahrain","Panama",335
"Bahrain","Peru",49
"Bahrain","Rwanda",4
"Bahrain","Senegal",73
"Bahrain","Sierra Leone",22
"Bahrain","Somalia",74
"Bahrain","South Sudan",37
"Bahrain","Sudan",21226
"Bahrain","Tanzania",534
"Bahrain","Togo",15
"Bahrain","Trinidad and Tobago",97
"Bahrain","Uganda",330
"Bahrain","Venezuela",73
"Bahrain","Zambia",54
"Bangladesh","Angola",48
"Bangladesh","Argentina",368
"Bangladesh","Benin",46
"Bangladesh","Bolivia",3
"Bangladesh","Brazil",1178
"Bangladesh","Burkina Faso",25
