"","Airport","R0_VH_mean","Asian_countries","R0_HV_mean","R0_HV_lower_CI","R0_HV_upper_CI","R0_HV_sd","city","seeds","sd_seeds"
"1","AMD",7.64173056482376,"India",0.781808900466896,0.358098604377144,1.28967057386145,0.2382123052087,"Ahmedabad",1.04,0.1525
"2","AUH",7.92796297525427,"United Arab Emirates",0.130024958349106,0.0603602651200448,0.215957310085899,0.0394125935982242,"Abu Dhabi",1.3,0.18
"3","BAH",7.88561069374899,"Bahrain",0.127780254687478,0.0590338698610549,0.211714312292699,0.0389527757784569,"Manama",0.76,0.12
"4","BEY",5.61329063570801,"Lebanon",0.0720098102753804,0.0329530449545722,0.119120659737341,0.0218531542201659,"Beirut",7.26,1.0125
"5","BKK",7.95297194612158,"Thailand",0.888178172928965,0.39965968048865,1.46370113978512,0.27331746787509,"Bangkok",2.2,0.325
"6","BOM",7.91864498511814,"India",0.845179300809378,0.395090079990441,1.39085950974706,0.254858069668772,"Mumbai",6.99,0.995
"7","CAN",4.95317403044101,"China",0.358853498373658,0.167333109086071,0.593847651090179,0.109925576281688,"Guangzhou",9.61,1.3325
"8","DEL",7.15969806511322,"India",0.695012135955392,0.320055604211575,1.15108417796342,0.213730696813793,"New Delhi",3.59,0.5225
"9","DMM",7.62096030243124,"Saudi Arabia",0.118502642233769,0.0550031132321496,0.194734211853197,0.0360675081935166,"Dammam",1.2,0.1625
"10","DOH",7.94802061995139,"Qatar",0.132195479780997,0.0601117039923245,0.219318122758318,0.0402323238977538,"Doha",3.23,0.47
"11","DXB",7.89799525877243,"United Arab Emirates",0.128586515076006,0.058962586009609,0.210753524758542,0.0389712243348399,"Dubai",23.69,3.3475
"12","HKG",5.57137203591855,"Hong Kong",0.465834452859018,0.214868702256006,0.761472741406725,0.140675049246516,"Hong Kong",3.09,0.4575
"13","ICN",0.0316397145566705,"South Korea",0,0,0,0,"Seoul",1.72,0.27
"14","IST",1.38912629753851,"Turkey",3.02586076890088e-21,1.39683104372144e-21,4.95962476596703e-21,9.26810776603478e-22,"Istanbul",6.04,0.785
"15","JED",7.94802061995139,"Saudi Arabia",0.131879751407039,0.0608876226026699,0.216505049934103,0.0397875209231917,"Jeddah",5.58,0.7075
"16","KUL",7.92183304381231,"Malaysia",0.844586806589739,0.394267966779112,1.38194583222962,0.256322611227675,"Kuala Lumpur",1.6,0.2175
"17","KWI",7.80400398723699,"Kuwait",0.124580335796424,0.0573266826260178,0.206489751109156,0.0379271329817757,"Kuwait City",1.41,0.2
"18","MCT",7.6807281421492,"Oman",0.119849530735787,0.0546558494084816,0.198600026535972,0.0369747377905957,"Muscat",1.9,0.2875
"19","MED",7.86043659793418,"Saudi Arabia",0.126310388914718,0.0592592261893963,0.208860172724298,0.0385211432466813,"Medina",1.04,0.16
"20","MNL",7.952590942892,"Philippines",0.883962072406434,0.410613513496583,1.45718345001403,0.270926542012164,"Manila",1.73,0.26
"21","NRT",0.908022762896944,"Japan",3.99710543256898e-27,1.8479008757242e-27,6.59182955125299e-27,1.20740280978405e-27,"Tokyo",1.56,0.265
"22","PEK",0.0203418889689481,"China",0,0,0,0,"Beijing",7.99,1.155
"23","PVG",2.22390326565885,"China",1.97786887225664e-15,8.86961083002015e-16,3.2515145473788e-15,6.03866759816745e-16,"Shanghai",5.67,0.86
"24","RUH",6.83296482233386,"Saudi Arabia",0.0993514824819724,0.0452954302753498,0.164210853966387,0.0303619956707089,"Riyadh",2.99,0.4
"25","SIN",7.95436107119684,"Singapore",0.870140778135826,0.404637973036477,1.42589287564297,0.264185147461803,"Singapore",0.77,0.1225
