"","Airport","R0_VH_mean","Asian_countries","R0_HV_mean","R0_HV_lower_CI","R0_HV_upper_CI","R0_HV_sd","city","seeds","sd_seeds"
"1","AMD",0.10205593183469,"India",0.00468502582050316,0.00217568981796293,0.00774090462136144,0.00143304432852564,"Ahmedabad",1.04,0.1525
"2","AUH",0.0340437285030168,"United Arab Emirates",0.000129752975164537,6.02269351298909e-05,0.000214264493606221,3.96322576764938e-05,"Abu Dhabi",1.3,0.18
"3","BAH",0.123583057413984,"Bahrain",0.00108251259213139,0.000490794913780942,0.00177610660207271,0.000328148212746687,"Manama",0.76,0.12
"4","BEY",6.21184029923525,"Lebanon",0.148894516307866,0.0669465397860691,0.246166864223263,0.0457758297580003,"Beirut",7.26,1.0125
"5","BKK",3.03424237567655,"Thailand",0.838153167063244,0.38749603904595,1.3891545696159,0.257074544724867,"Bangkok",2.2,0.325
"6","BOM",0.0887788033088282,"India",0.00356349311438422,0.00163757516994152,0.00583896402077986,0.00107132019625699,"Mumbai",6.99,0.995
"7","CAN",6.13254749244805,"China",0.976258133817014,0.451288669664615,1.62737946269337,0.299382235246672,"Guangzhou",9.61,1.3325
"8","DEL",0,"India",0,0,0,0,"New Delhi",3.59,0.5225
"9","DMM",0,"Saudi Arabia",0,0,0,0,"Dammam",1.2,0.1625
"10","DOH",0,"Qatar",0,0,0,0,"Doha",3.23,0.47
"11","DXB",0.0826549791121688,"United Arab Emirates",0.000476284318911849,0.000223214198537298,0.000790061042383847,0.000145981170747571,"Dubai",23.69,3.3475
"12","HKG",7.12317814594308,"Hong Kong",0.961168348806395,0.447043864888614,1.58213100700433,0.291331645725491,"Hong Kong",3.09,0.4575
"13","ICN",7.67795449181035,"South Korea",0.94746940771929,0.425091893452344,1.55236737493197,0.288196541413335,"Seoul",1.72,0.27
"14","IST",7.95547459134674,"Turkey",0.134124647368626,0.0622368795790816,0.221404064621309,0.0408748234691611,"Istanbul",6.04,0.785
"15","JED",0,"Saudi Arabia",0,0,0,0,"Jeddah",5.58,0.7075
"16","KUL",6.00850460984342,"Malaysia",0.972345950009582,0.451164649904402,1.61682679453712,0.297106560859615,"Kuala Lumpur",1.6,0.2175
"17","KWI",0,"Kuwait",0,0,0,0,"Kuwait City",1.41,0.2
"18","MCT",1.2397883831862,"Oman",0.0860996137704793,0.0390241592316504,0.142169450503553,0.0264392322102123,"Muscat",1.9,0.2875
"19","MED",0,"Saudi Arabia",0,0,0,0,"Medina",1.04,0.16
"20","MNL",4.34206075198728,"Philippines",0.926450264979149,0.430769561028779,1.52988811940499,0.279699964706824,"Manila",1.73,0.26
"21","NRT",7.44778171930693,"Japan",0.954006226945018,0.451137611894606,1.57385172151521,0.291408615478534,"Tokyo",1.56,0.265
"22","PEK",7.5225766299369,"China",0.950180023857403,0.436256732759125,1.56029792848383,0.288706809347904,"Beijing",7.99,1.155
"23","PVG",6.59099418925598,"China",0.971831118420522,0.447350108551516,1.60023686987064,0.294550724713201,"Shanghai",5.67,0.86
"24","RUH",0.120627936246622,"Saudi Arabia",0.00102199846119549,0.000481907530031886,0.00168846965073262,0.000311759308895282,"Riyadh",2.99,0.4
"25","SIN",6.36621644733277,"Singapore",0.973699284237493,0.435440347870042,1.61746639951579,0.299468344583699,"Singapore",0.77,0.1225
