"","Airport","R0_VH_mean","Asian_countries","R0_HV_mean","R0_HV_lower_CI","R0_HV_upper_CI","R0_HV_sd","city","seeds","sd_seeds"
"1","AMD",0.0263714802645275,"India",0,0,0,0,"Ahmedabad",1.04,0.1525
"2","AUH",0.747352224028612,"United Arab Emirates",5.52507888411067e-32,2.52507389299329e-32,9.12503169102763e-32,1.69347429422819e-32,"Abu Dhabi",1.3,0.18
"3","BAH",1.17751389421574,"Bahrain",1.50209961254508e-23,6.92052536548041e-24,2.50584895611657e-23,4.62450773340608e-24,"Manama",0.76,0.12
"4","BEY",0.0316773019677036,"Lebanon",0,0,0,0,"Beirut",7.26,1.0125
"5","BKK",4.98813458791666,"Thailand",0.364109449076845,0.166058828998034,0.598399718901475,0.110884097139719,"Bangkok",2.2,0.325
"6","BOM",0.984307052238297,"India",1.18836496449045e-25,5.36626722887557e-26,1.94489087549916e-25,3.61749255147166e-26,"Mumbai",6.99,0.995
"7","CAN",0.019434719812,"China",0,0,0,0,"Guangzhou",9.61,1.3325
"8","DEL",0.014020125926276,"India",0,0,0,0,"New Delhi",3.59,0.5225
"9","DMM",0.0202622373605469,"Saudi Arabia",0,0,0,0,"Dammam",1.2,0.1625
"10","DOH",0.588444761846749,"Qatar",4.5695607047343e-38,2.1268801966548e-38,7.58424810660409e-38,1.39333335485853e-38,"Doha",3.23,0.47
"11","DXB",0.768866876761623,"United Arab Emirates",2.37764718430335e-31,1.09438043204602e-31,3.91736730994297e-31,7.23344467202355e-32,"Dubai",23.69,3.3475
"12","HKG",0.127250890191189,"Hong Kong",2.29826341813771e-137,1.08428940580779e-137,3.76304575114534e-137,6.9278098482942e-138,"Hong Kong",3.09,0.4575
"13","ICN",0.040673891919671,"South Korea",0.00179232102369376,0.000823513639999332,0.00296766359247578,0.000547217215884516,"Seoul",1.72,0.27
"14","IST",-0.000208720785966965,"Turkey",0,0,0,0,"Istanbul",6.04,0.785
"15","JED",0.588444761846749,"Saudi Arabia",4.58807155011628e-38,2.10271760855884e-38,7.53850086525525e-38,1.39155111948424e-38,"Jeddah",5.58,0.7075
"16","KUL",5.67100117816929,"Malaysia",0.480239745586963,0.224586847334888,0.793196100419059,0.146079021859236,"Kuala Lumpur",1.6,0.2175
"17","KWI",0.0175647697653755,"Kuwait",0,0,0,0,"Kuwait City",1.41,0.2
"18","MCT",1.32044549353295,"Oman",6.43253907174086e-22,2.88954540472248e-22,1.05961239528897e-21,1.9809715529551e-22,"Muscat",1.9,0.2875
"19","MED",0.0798648790412418,"Saudi Arabia",2.82776053927839e-213,1.2943611979679e-213,4.66090984439178e-213,0,"Medina",1.04,0.16
"20","MNL",5.72943147707065,"Philippines",0.489926170137088,0.226320086013422,0.80808884429766,0.150482358809579,"Manila",1.73,0.26
"21","NRT",0.00520373133807614,"Japan",5.84984221730035e-12,2.70402354598452e-12,9.65919882150805e-12,1.78235164738194e-12,"Tokyo",1.56,0.265
"22","PEK",0.0912225644997016,"China",0.0388226232063653,0.017941577890151,0.0633986700959592,0.0117655244442249,"Beijing",7.99,1.155
"23","PVG",-0.000486673797363207,"China",0,0,0,0,"Shanghai",5.67,0.86
"24","RUH",0.0170795245247469,"Saudi Arabia",0,0,0,0,"Riyadh",2.99,0.4
"25","SIN",6.53048943336943,"Singapore",0.606552671429388,0.279226657361623,1.00700544509509,0.186852597667385,"Singapore",0.77,0.1225
